,title,path,style,genres
614, J Kenzo   Shark Eye   Asutoraru,(ARTKL028) J-Kenzo - Shark Eye - Asutoraru,['Dubstep'],['Electronic']
615,RSD   Jah Way   Speeka Box ,RSD - Jah Way & Speeka Box [drunk 008],['Dubstep'],['Electronic']
616,Quartz   Alchemy Burn ,Quartz - Alchemy Burn [System Music],['Dubstep'],['Electronic']
617,TMSV   Jungle  Vol. 2,TMSV - Jungle- Vol. 2,"['Jungle', 'Drum n Bass']",['Electronic']
618, dub across borders   black lake lack blake,[45719] dub across borders - black lake-lack blake,"['Jungle', 'Dub', 'Roots Reggae']","['Electronic', 'Reggae']"
619,TMSV   Jungle  Vol. 1,TMSV - Jungle- Vol. 1,"['Drum n Bass', 'Jungle']",['Electronic']
620,Luca Lozano + Mr. Ho   Visions of Rhythm 2,Luca Lozano + Mr. Ho - Visions of Rhythm 2,"['Deep House', 'House', 'Breakbeat', 'Downtempo']",['Electronic']
621,Forest Drive West   Terminus ep  ,Forest Drive West - Terminus ep (2020) (flac),"['Techno', 'Drum n Bass']",['Electronic']
623,Ploy   Intrigued By The Drum  ,Ploy - Intrigued By The Drum [2017] [EP],"['Tribal', 'Techno']",['Electronic']
624,XIII   Permanent Rain,XIII - Permanent Rain,"['Ethereal', 'Neofolk', 'Dub', 'Ambient']","['Electronic', 'Folk, World, & Country']"
625,Equation ep ,Equation ep (2013),['House'],['Electronic']
626,Filter Dread   Space Beams EP,Filter Dread - Space Beams EP,"['Breakbeat', 'Drum n Bass', 'Grime']",['Electronic']
627,Odd Person   Myths of the Crystal Plateau,Odd Person - Myths of the Crystal Plateau,"['Tribal', 'New Age', 'Experimental']","['Electronic', 'Folk, World, & Country']"
628,Chaos in the CBD   Orange Blank Green Dove,Chaos in the CBD - Orange Blank Green Dove,"['House', 'Balearic', 'Acid House']",['Electronic']
629,memotone   How Was Your Life,memotone - How Was Your Life,"['Balearic', 'Ambient', 'Experimental', 'Neofolk', 'Neopagan']","['Electronic', 'Folk, World, & Country']"
630,Alex Coulton   Bleep Sequence   Tension,Alex Coulton - Bleep Sequence - Tension,"['Bass Music', 'Techno', 'House', 'UK Garage']",['Electronic']
632,Loop LF   Natural XT,Loop LF - Natural XT,"['Minimal Techno', 'Glitch', 'Drum n Bass', 'Leftfield']",['Electronic']
633,boli group   boli group   The Jutlandia Quartets,boli group - boli group - The Jutlandia Quartets,"['Modern Classical', 'Experimental']",['Electronic']
634,Dj Metatron   Loops of Infinity ,Dj Metatron - Loops of Infinity (A Rave Loveletter),"['Ambient', 'Breakbeat', 'Breaks', 'Techno', 'Neo Trance', 'Trance']",['Electronic']
635,Loop LF   Stepping Back EP  ,Loop LF - Stepping Back EP (Wall Street) [320k],"['Broken Beat', 'House', 'Techno']",['Electronic']
637,Loop LF   Drifting Forwards,Loop LF - Drifting Forwards,"['Dub Techno', 'Techno', 'Breakbeat', 'Experimental']",['Electronic']
639,Cop Envy   Total End ,Cop Envy - Total End (2016),['Techno'],['Electronic']
641,downstairs J   basement  etc,downstairs J - basement- etc,"['Trip Hop', 'Downtempo', 'Acid House']",['Electronic']
642,Sindrome   LAURA,Sindrome - LAURA,"['Techno', 'Electro', 'Experimental']",['Electronic']
644,Dj Psychiatre   Never Complain ,Dj Psychiatre - Never Complain (Lost Palms),"['Deep House', 'House']",['Electronic']
645, Gesloten Cirkel   Gesloten Cirkel,[2009] Gesloten Cirkel - Gesloten Cirkel,"['House', 'Electro', 'Acid', 'Techno']",['Electronic']
646,James Blake   If The Car Beside You Moves Ahead,James Blake - If The Car Beside You Moves Ahead,"['Experimental', 'Glitch']",['Electronic']
648,RSD Corner Dub    Pretty Bright Light ,RSD-Corner_Dub_(Blue_and_Red_Mix)_&_Pretty_Bright_Light-(DRUNK003),['Dubstep'],['Electronic']
649,Minor Science   Whities 008  ,Minor Science - Whities 008 [Ep] (2016),['Techno'],['Electronic']
650, Dj Jubilee   Eternal Dark ,(1997) Dj Jubilee - Eternal Dark (Unknown Grouping),['Jungle'],['Electronic']
