,title,path,style,genres
148,For Those of You Who Have Never ,For Those of You Who Have Never (And Also Those Who Have),"['Ambient', 'Experimental']",['Electronic']
150, Cybonix   Make This Party Live ,[CX 016] Cybonix - Make This Party Live [2004-WEB-FLAC],['Electro'],['Electronic']
151,JoeFarr   Spectate EP,JoeFarr - Spectate EP,['Techno'],['Electronic']
152,Young Druid   YOUNG DRUID,Young Druid - YOUNG DRUID,"['Instrumental', 'Pipe & Drum']","['Hip Hop', 'Brass & Military']"
153,01   Frankie Goes To Hollywood   Welcome To The Pleasuredome,01 - Frankie Goes To Hollywood - Welcome To The Pleasuredome.mp3,"['Pop Rock', 'Synth-pop', 'Ballad']","['Electronic', 'Rock', 'Pop']"
154,dj haram   BODY COUNT,dj haram - BODY COUNT.mp3,"['Footwork', 'Grime', 'Jersey Club']","['Electronic', 'Hip Hop']"
155,Walton   Taiko,Walton - Taiko,"['Techno', 'Grime', 'UK Garage']",['Electronic']
156,Donato Dozzy   Cassandra ,Donato Dozzy - Cassandra [Claque Musique],"['Deep Techno', 'Ambient', 'Drone']",['Electronic']
158,Raccordo Fluviale Subalpino   Raccordo Fluviale Subalpino,Raccordo Fluviale Subalpino - Raccordo Fluviale Subalpino,"['Acid', 'Leftfield', 'Abstract', 'Ambient']",['Electronic']
161,Weird Weather   Succulents EP,Weird Weather - Succulents EP,"['Industrial', 'Dub', 'Experimental', 'Leftfield']",['Electronic']
162,Conrad Pack   Receptor,Conrad Pack - Receptor,"['Dub', 'Techno']",['Electronic']
163,Mars89   Throbbing Pain,Mars89 - Throbbing Pain.mp3,"['Industrial', 'Dub']",['Electronic']
164,Heith   Laguna,Heith - Laguna,"['Experimental', 'Gamelan', 'Ambient']","['Electronic', 'Folk, World, & Country']"
165,Locked Club   Svoboda EP,Locked Club - Svoboda EP,"['Electro', 'Techno']",['Electronic']
166,A$AP Rocky   Cozy Tapes Vol. 1   Friends,A$AP Rocky - Cozy Tapes Vol. 1 - Friends,['Hip Hop'],"['Electronic', 'Hip Hop']"
167,Thomas P Heckmann   Acid Seduction,Thomas P Heckmann - Acid_Seduction,"['Acid', 'Techno']",['Electronic']
168,V A   SECRET RAVE 03,V-A - SECRET RAVE 03,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
169,Filter Dread   Ice Rave,Filter Dread - Ice Rave,"['Experimental', 'Grime', 'Breakbeat']",['Electronic']
170,Planet Lonely ,Planet Lonely (2018),"['Ambient', 'Leftfield', 'Downtempo']",['Electronic']
171,Piezo   LSD Superhero,Piezo - LSD Superhero,['Techno'],['Electronic']
172,Dawl   Ultimate Damage,Dawl - Ultimate Damage,"['Breaks', 'Electro', 'Bleep']",['Electronic']
173,Pugilist   Blue 06,Pugilist - Blue 06,"['Breaks', 'Bass Music']",['Electronic']
175,Sputnik One   Warm Body EP,Sputnik One - Warm_Body_EP,['Techno'],['Electronic']
176,Al Wootton   Every Knee Shall Bow ,Al Wootton - Every Knee Shall Bow ,"['Dub', 'Dub Techno']","['Electronic', 'Reggae']"
177,V A   SECRET RAVE 04,V-A - SECRET RAVE 04,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
178,nthng   Are You Here,nthng - Are You Here,"['Techno', 'Electro']",['Electronic']
179,I HATE MODELS   PERSEPHONE,I HATE MODELS - PERSEPHONE.mp3,['Techno'],['Electronic']
180,Autumns   Dyslexia Sound System,Autumns - Dyslexia Sound System,"['Dub', 'Post-Punk', 'Coldwave', 'Techno', 'Experimental']","['Electronic', 'Rock']"
181,RG   Observer,RG - Observer,"['Ambient', 'Dub', 'Dub Techno', 'Experimental', 'Field Recording']","['Electronic', 'Non-Music']"
182,Steve Summers   Generation Loss ,"Steve Summers - Generation Loss [2021, L.I.E.S.]","['House', 'Techno', 'Acid', 'Experimental']",['Electronic']
184,Gombeen   Doygen   DAmericana   Auto Lies,Gombeen & Doygen - D'Americana - Auto-Lies,"['Dub Techno', 'Abstract']",['Electronic']
185,DK Riding for a Fall,DK-Riding_for_a_Fall,['House'],['Electronic']
186,Samba Kings EP,Samba-Kings-EP,['Dubstep'],['Electronic']
188, Textasy   Nasty King Kurl   Bombers,[777_18] Textasy & Nasty King Kurl - Bombers,"['Techno', 'Electro', 'Acid']",['Electronic']
189, Salamandos   The World To Come ,[BUNKER 3076] Salamandos - The World To Come [2007],"['Acid House', 'Electro']",['Electronic']
190,Lamont   Cut It Back EP,Lamont - Cut It Back EP,"['Dubstep', 'Bass Music']",['Electronic']
191,Loefah   Mud,Loefah - Mud.mp3,['Dubstep'],['Electronic']
192,Ulla   Tumbling Towards a Wall,Ulla - Tumbling Towards a Wall,['Ambient'],['Electronic']
193,Reptilian Expo   xperiametaphone,Reptilian Expo - xperiametaphone,"['Abstract', 'Leftfield']","['Electronic', 'Non-Music']"
194,Unknown Artist   W.L.W.A.S.I.O.H. ,Unknown Artist - W.L.W.A.S.I.O.H. (K Lost Acid Dub),"['Acid', 'Acid House', 'Electro']",['Electronic']
195,Pugilist   Negative Space,Pugilist - Negative Space,"['Breaks', 'Dubstep', 'Techno']",['Electronic']
196,   Mode For Love E.P. ,[2011] - Mode For Love E.P. [FLAC],['House'],['Electronic']
199,Falhaber   Baptised EP,Falhaber - Baptised EP,"['Techno', 'Industrial']",['Electronic']
200,Glances   Stay There EP,Glances - Stay There EP,"['Techno', 'Leftfield']",['Electronic']
201,Robert Fleck   Soft focus,Robert Fleck - Soft focus,"['Broken Beat', 'Techno', 'Dub']",['Electronic']
202,Space Invaders Are Smoking Grass,Space Invaders Are Smoking Grass,['Electro'],['Electronic']
203,V A   SECRET RAVE 05,V-A - SECRET RAVE 05,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
204,Ploy   Ramos   Roys Rolls,Ploy - Ramos - Roy's Rolls,"['Leftfield', 'Tribal', 'Techno']",['Electronic']
206,JONQUERA   Hell Reggaeton,JONQUERA - Hell Reggaeton.mp3,"['Downtempo', 'EBM', 'Dub']","['Electronic', 'Reggae']"
207,AIR Krew   A Walk Through H,AIR Krew - A Walk Through H,['Leftfield'],['Electronic']
208,Big Hands   Arcane Mosaics,Big Hands - Arcane Mosaics,"['Grime', 'Dub Techno', 'Breaks', 'Leftfield']",['Electronic']
210,PEDRO   Damaia 2.0,PEDRO - Damaia 2.0,"['Bass Music', 'House']",['Electronic']
211,EDMX   Mind Mechanixx,EDMX - Mind Mechanixx,"['Electro', 'Techno', 'Industrial', 'Acid', 'Breakbeat']",['Electronic']
212,Frankie Knuckles   His Greatest Hits From Trax,Frankie Knuckles - His Greatest Hits From Trax,['House'],['Electronic']
213,Jack Roland   Dream Technology,Jack Roland - Dream Technology,"['Electro', 'Breakbeat', 'House', 'Techno', 'Acid']",['Electronic']
214,V A   SECRET RAVE 02,V-A - SECRET RAVE 02,"['Hard Trance', 'Trance', 'Techno', 'Acid']",['Electronic']
215,YOUTH   Blazer Sound System   YO6TH,YOUTH - Blazer Sound System - YO6TH,"['Dub', 'Breakbeat']",['Electronic']
216,SEBASTIANO CARGHINI   ENXPL02   BLUE,SEBASTIANO CARGHINI - ENXPL02 - BLUE,"['Abstract', 'Ambient', 'Industrial', 'Dub']","['Electronic', 'Non-Music']"
217,K LONE   K LONE   Sine Language,K-LONE - K-LONE - Sine Language,"['Techno', 'House', 'Grime', 'Electro', 'UK Garage', 'Broken Beat']",['Electronic']
218,Marv   Keyboard Suite I,Marv - Keyboard Suite I,"['Ambient', 'Illbient', 'Leftfield', 'Minimal', 'New Age']","['Electronic', 'Folk, World, & Country']"
219,Asusu   Hallucinator   Sendak,Asusu - Hallucinator - Sendak,"['Electro', 'Experimental']",['Electronic']
221,Jerico   Run That,Jerico - Run That,"['Europop', 'Soul', 'Ballad']","['Electronic', 'Funk / Soul', 'Pop']"
222,Clara! y Maoupa   Truenos,Clara! y Maoupa - Truenos.mp3,"['Experimental', 'Reggaeton']","['Electronic', 'Latin']"
223,Various artists   XXIII   VOLUME 4,Various artists - XXIII - VOLUME 4,"['Hard House', 'Hard Trance', 'House']",['Electronic']
224,Supreme Rallentato Volume 2,Supreme Rallentato Volume 2,"['House', 'Tech House', 'Dub']",['Electronic']
225,Eva808   Oyuki EP,Eva808 - Oyuki EP,"['Dubstep', 'Grime']",['Electronic']
226,Klaus   Sabz   Qua  ,Klaus - Sabz - Qua [2021] [EP],"['Downtempo', 'Dub', 'Ambient']",['Electronic']
227,Comme de Loin,Comme_de_Loin,"['Ambient', 'Abstract', 'Dark Ambient', 'Deep House']",['Electronic']
228,Henry Greenleaf   Fold Together EP,Henry Greenleaf - Fold Together EP,"['Breakbeat', 'UK Garage', 'Techno']",['Electronic']
230,Paleman   Like O,Paleman - Like O,"['Dubstep', 'Dark Ambient', 'UK Garage']",['Electronic']
231,Buttechno   Sport  ,Buttechno - Sport [2015] [Album],"['Techno', 'Experimental', 'House', 'Leftfield', 'Noise']",['Electronic']
232,DJ Overdose   Emulator Armour,DJ Overdose - Emulator Armour,"['Acid', 'Electro', 'Techno']",['Electronic']
233,Atoloi   CuraVoceScura,Atoloi - CuraVoceScura,"['Tribal', 'Techno', 'Acid', 'Downtempo']",['Electronic']
234,Piezo   ANSIA004,Piezo - ANSIA004,"['Techno', 'Broken Beat']",['Electronic']
235,Konstruktivits   Glennascaul,Konstruktivits - Glennascaul,"['Industrial', 'Experimental']",['Electronic']
236,MEDI82 Commodo   Shift   Instrumental,MEDI82 Commodo - Shift & Instrumental,"['Grime', 'Dubstep']",['Electronic']
237,KAHN   SYSTM035   KAHN,KAHN - SYSTM035 - KAHN,['Dubstep'],['Electronic']
238,Buttechno   Badtrip ,Buttechno - Badtrip (TRP027),"['Techno', 'Industrial']",['Electronic']
239,Front De Cadeaux Supreme Rallentato Volume 1,Front De Cadeaux Supreme Rallentato Volume 1,"['House', 'Tech House', 'Dub']",['Electronic']
240,Stepz Riddim ,Stepz Riddim (2004),['Dancehall'],['Reggae']
242,Sunun + Jiinx   Sunun + Jiinx,Sunun + Jiinx - Sunun + Jiinx,"['Dub', 'Grime', 'Experimental', 'Ambient']","['Electronic', 'Reggae']"
243,Babe Roots   Babe Roots LP,Babe Roots - Babe Roots LP,"['Dub', 'Dub Techno']","['Electronic', 'Reggae']"
244,Piezo   Piezo,Piezo - Piezo,['Bass Music'],['Electronic']
245,Anthro   Trigger Happs EP,Anthro - Trigger Happs EP,"['Industrial', 'Techno']",['Electronic']
246,VA   Thick As Thieves,VA - Thick As Thieves,"['Techno', 'Experimental']",['Electronic']
249,NKC   Hague Basement,NKC - Hague Basement,"['Techno', 'Tribal House']",['Electronic']
250,Abu Ama   AM002,Abu Ama - AM002,"['Ambient', 'Experimental', 'Downtempo', 'Dub', 'Field Recording', 'Dub Techno']",['Electronic']
252,G Sudden   Bunout Boss EP,G Sudden - Bunout Boss EP,"['Dancehall', 'Bubbling']",['Reggae']
253,Lamont   Titanic   Eyes Closed,Lamont - Titanic - Eyes Closed,"['UK Garage', 'Broken Beat', 'Garage House', 'House', 'Techno']",['Electronic']
254,Wisecrack   Wisecrack,Wisecrack - Wisecrack,"['Abstract', 'Experimental']",['Electronic']
255,DJ APE   DJ OA$IS   Sleng Again   Sleng Again  Again,DJ APE & DJ OA$IS - Sleng Again - Sleng Again- Again,"['Techno', 'Dancehall']","['Electronic', 'Reggae']"
256,Rainforest Spiritual Enslavement   Flying Fish Ambience,Rainforest Spiritual Enslavement - Flying Fish Ambience,"['Ambient', 'Tribal', 'Field Recording']",['Electronic']
257,Sunun   Ooid,Sunun - Ooid,['Dub'],['Electronic']
258, Salamandos   Follow The Messiah ,[BUNKER 3075] Salamandos - Follow The Messiah [2007],"['Acid House', 'Electro', 'House', 'Techno']",['Electronic']
259,Threat to Creation,Threat to Creation,['Dub'],['Reggae']
260,Tribe Of Colin   FRUITS OF ZION,Tribe Of Colin - FRUITS OF ZION,"['Experimental', 'Techno', 'Religious']",['Electronic']
261,Low Jack   Virgin Traf 22   Grass 29,Low Jack - Virgin Traf 22 - Grass 29,['Dancehall'],"['Electronic', 'Reggae']"
263,Zuli  Rama   NMX003  Zuli   Rama,Zuli- Rama - NMX003- Zuli & Rama,"['Experimental', 'Ambient', 'Industrial', 'Noise']",['Electronic']
265,Andy Mac   Ossia   Soup Riddim   Cado   Linguine,Andy Mac & Ossia - Soup Riddim - Cado - Linguine,"['Dub', 'Dancehall', 'House']","['Electronic', 'Reggae']"
266,Significant Other   Oblivion  ,Significant Other - Oblivion [2021] [EP],"['Techno', 'Experimental', 'Ambient']",['Electronic']
267,Space Drum Meditation   SDM001,Space_Drum_Meditation - SDM001,"['Deep House', 'Techno', 'Breakbeat', 'Leftfield']",['Electronic']
268,Various Artists   WINDOW A   WINDOW B,Various Artists - WINDOW A - WINDOW B,"['Techno', 'Electro']",['Electronic']
269,Buttechno   Yalta Ukraine,Buttechno - Yalta_Ukraine,"['Techno', 'Deep House', 'Deep Techno', 'House', 'Ambient', 'Experimental', 'Downtempo']",['Electronic']
270,Space Drum Meditation   SDM005,Space_Drum_Meditation - SDM005,"['Techno', 'Tribal', 'Experimental']",['Electronic']
271,Qant Waiting Game EP,Qant-Waiting_Game_EP,"['Drum n Bass', 'Jungle']",['Electronic']
272,Gaunt   Shes No Patsy,Gaunt - She's No Patsy.mp3,"['Techno', 'Leftfield', 'Experimental']",['Electronic']
273, Skander – Dirge ,[LACR006] Skander – Dirge (2014),"['Techno', 'Industrial']",['Electronic']
274,Marco Shuttle   Ritmo Elegante,Marco Shuttle - Ritmo Elegante,"['Ambient', 'Techno']",['Electronic']
275,caterina barbieri   Clessidra,caterina barbieri - Clessidra.mp3,['Ambient'],['Electronic']
276,Stones Taro   Digital Vintage EP,Stones Taro - Digital Vintage EP,"['Breakbeat', 'Breaks', 'UK Garage', 'House']",['Electronic']
277,O$VMV$M   Soak ,O$VMV$M - Soak (goodnight mix).mp3,"['Ambient', 'Experimental', 'Instrumental']",['Electronic']
278,Mikael   Wildfire,Mikael - Wildfire,['Dubstep'],['Electronic']
279,Chief Keef   Macaroni Time,Chief Keef - Macaroni Time,"['Trap', 'Drill', 'Gangsta', 'Thug Rap']",['Hip Hop']
280, rainforest   jungle is our dub dub to jungle,[45717] rainforest - jungle is our dub-dub to jungle,"['Jungle', 'Dub']","['Electronic', 'Reggae']"
281,Ambulance vs Ambulance   Bitte Pill,Ambulance vs Ambulance - Bitte Pill.mp3,['Abstract'],"['Electronic', 'Folk, World, & Country']"
282,Yak   Lucid Nightmare,Yak - Lucid Nightmare.mp3,"['Broken Beat', 'Techno']",['Electronic']
283,Sprawl + DArcangelo Remix   Time Tunnel,Sprawl + D'Arcangelo Remix - Time Tunnel,"['Electro', 'IDM', 'Techno', 'Breaks']",['Electronic']
284,Dj Healer   Nothing 2 Loose,Dj Healer - Nothing 2 Loose,"['Ambient', 'Breakbeat', 'House']",['Electronic']
286,Florian T M Zeisig   Coatcheck,Florian T M Zeisig - Coatcheck,"['Abstract', 'Ambient', 'Dub Techno']","['Electronic', 'Non-Music']"
287,Little Artist   CANCEL COPENHAGEN,Little Artist - CANCEL COPENHAGEN,"['Dub', 'Future Jazz']",['Electronic']
288,YOUTH   SSIEGE   Fading Summer   YOCS2,YOUTH - SSIEGE - Fading Summer - YOCS2,"['Ambient', 'Abstract', 'Synthwave', 'New Age']",['Electronic']
289,ZULI   Bionic Ahmed ,ZULI - Bionic Ahmed (UIQ0002),"['Abstract', 'Grime', 'Techno', 'Jungle', 'UK Garage']",['Electronic']
291, SSIEGE   Turbe In Sviluppo ,[2016] SSIEGE - Turbe In Sviluppo [UN.T.O. Records],"['Abstract', 'Deep House', 'Techno']",['Electronic']
293,Le Combat   The Tower,Le Combat - The Tower.mp3,"['Soundtrack', 'Video Game Music']",['Stage & Screen']
294,Big Hands   Ossario,Big Hands - Ossario,"['Techno', 'Deep Techno', 'Leftfield']",['Electronic']
296,Anthony Naples El Portal ,Anthony_Naples-El_Portal-(TTT008),"['Deep House', 'Leftfield']",['Electronic']
297,Randomer   Smokin,Randomer - Smokin,"['Techno', 'Electro']",['Electronic']
298,Menzi   Impazamo,Menzi - Impazamo,"['Experimental', 'Bass Music', 'Gqom']",['Electronic']
299,"Bear Bones, Lay Low   Voces De Humo ","Bear Bones, Lay Low - Voces De Humo (DJ Plead Belly-Roll Mix).mp3","['Leftfield', 'Experimental', 'Tribal', 'Drum n Bass']",['Electronic']
300,Space Drum Meditation   SDM002,Space_Drum_Meditation - SDM002,"['Techno', 'Experimental', 'Electro']",['Electronic']
301,Samba   Winona  ,Samba - Winona [Ep] (2019),['Dubstep'],['Electronic']
302,Krikor   Gun Clash Riddim,Krikor - Gun Clash Riddim,"['Dub', 'Breakbeat']",['Electronic']
304,Tolouse Low Trax   Decades vol.II,Tolouse Low Trax - Decades vol.II,"['Experimental', 'Electro', 'Minimal', 'Techno', 'Industrial']",['Electronic']
305,Reedale Rise   Eternal Return,Reedale Rise - Eternal Return,"['Electro', 'Techno', 'Acid']",['Electronic']
306,Robert Fleck   Injury Time,Robert Fleck - Injury Time,"['Abstract', 'Experimental', 'Speed Garage', 'Dubstep']",['Electronic']
307,Mido   Darunia  ,Mido - Darunia (2017) (flac),"['Techno', 'Tribal']",['Electronic']
308,Đ.K.   The Ancient Kingdom,Đ.K. - The Ancient Kingdom,"['Ambient', 'Downtempo', 'Tribal', 'House']",['Electronic']
310,Two Shell   Over U,Two Shell - Over U.mp3,"['Pop Rock', 'Indie Rock']",['Rock']
311,Senate   Gangstalker,Senate - Gangstalker,"['Techno', 'Electro', 'Breakbeat', 'Bass Music']","['Electronic', 'Hip Hop']"
312,Four Tet   New Energy,Four Tet - New Energy,"['Ambient', 'House', 'Techno', 'Minimal']",['Electronic']
313,wzrdryAV   Midnight Visions,wzrdryAV - Midnight Visions,"['Ambient', 'Dub Techno', 'Downtempo', 'Field Recording']",['Electronic']
314,Flowdan   Full Metal Jacket,Flowdan - Full Metal Jacket,['Grime'],['Electronic']
315,67   Lets Lurk ,67 - Let's Lurk [2016],"['Grime', 'Trap', 'Drill']",['Hip Hop']
316,Legowelt   Immensity Of Cosmic Space,Legowelt - Immensity Of Cosmic Space,"['Techno', 'Acid House', 'Breakbeat']",['Electronic']
317,Perc   Truss   Clapacid,Perc & Truss - Clapacid.mp3,['Techno'],['Electronic']
319,Lemonick   Krizzli   Nammi,Lemonick & Krizzli - Nammi.mp3,"['Grime', 'Dancehall', 'Trap', 'Experimental']",['Electronic']
320,Anunaku   Stargate EP,Anunaku - Stargate EP,"['Breakbeat', 'Techno']",['Electronic']
321,Batu   Lurka   Curved   Bambounou Hyper Street Remix,Batu & Lurka - Curved - Bambounou Hyper Street Remix,"['Experimental', 'Techno', 'House']",['Electronic']
323,Mala   Changes   Forgive,Mala - Changes - Forgive,['Dubstep'],['Electronic']
324,Tenesha The WordSmith   Madea Dangerous Women,Tenesha The WordSmith - Madea-Dangerous Women,"['Abstract', 'Spoken Word', 'Poetry']","['Electronic', 'Non-Music']"
325,Tzusing   地心引力抓不住你,Tzusing - 地心引力抓不住你.mp3,"['EBM', 'Industrial', 'Techno']",['Electronic']
327,Ossia   chester giles   Shackles   Anpao,Ossia & chester giles - Shackles - Anpao,"['Experimental', 'Dub']",['Electronic']
328,Senyawa   Alkisah,Senyawa - Alkisah,['Abstract'],['Rock']
329,XXIII   XXIII   VOLUME 3,XXIII - XXIII - VOLUME 3,"['Breakbeat', 'Hardcore', 'Techno']",['Electronic']
331,Ossia   Devils Dance,Ossia - Devil's Dance,"['Dub', 'Techno', 'Ambient', 'Illbient']",['Electronic']
332,Bruce   Sonder Somatic    ,Bruce - Sonder Somatic - (2018) [WEB-FLAC],['Techno'],['Electronic']
334,Hebbe   Down Town Dub  Tumble,Hebbe - Down Town Dub  Tumble,['Dubstep'],['Electronic']
335,Persistence of memory  ,Persistence of memory (2017) (flac),"['Techno', 'Drum n Bass']",['Electronic']
336,hypho   round ere,hypho - round ere,['Bass Music'],['Electronic']
337,Paleman   Yrs Ago   Animus,Paleman - Yrs Ago - Animus,"['Techno', 'Electro', 'House', 'Bass Music']",['Electronic']
339,Notte Brigante   DJ F16 FALCON   Ici Commence La Nuit,Notte Brigante - DJ F16 FALCON - Ici Commence La Nuit,"['Dub', 'Experimental']",['Electronic']
340,Anthony Naples   Chameleon,Anthony Naples - Chameleon,"['Ambient', 'Downtempo', 'Chillwave']",['Electronic']
341,The Prince Stoner   Stoners Dub,The Prince Stoner - Stoner's Dub,"['Dub', 'Experimental']","['Electronic', 'Reggae']"
342,Jake Muir   Ladys Mantle,Jake Muir - Lady's Mantle,"['Ambient', 'Field Recording', 'Ethereal']",['Electronic']
343,O$VMV$M   O$VMV$M   Phase 4   Witch Linen,O$VMV$M - O$VMV$M - Phase 4' - 'Witch Linen,['Dub'],['Electronic']
344,Huerco S.   QTT4,Huerco S. - QTT4,"['Ambient', 'Drone', 'Experimental']",['Electronic']
345,Sikka Rymes   Seh Dem Bad,Sikka Rymes - Seh Dem Bad.mp3,"['Dancehall', 'Experimental', 'Bassline']","['Electronic', 'Reggae']"
346,Via Maris   Glow Wall   CU2,Via Maris - Glow Wall - CU2,"['Techno', 'Dubstep', 'Leftfield']",['Electronic']
348,Batu   Marius EP,Batu - Marius EP,"['Techno', 'House', 'Ambient']",['Electronic']
352,YOUTH   Nuclear Winter   Heavy Rain   Y15TH,YOUTH - Nuclear Winter - Heavy Rain - Y15TH,['Dubstep'],['Electronic']
354,Sharp tool in the shed   Land of the insane  ,Sharp tool in the shed - Land of the insane (2018) (flac),"['Deep House', 'Leftfield', 'Techno', 'Ambient']",['Electronic']
356,Lamont   Detached,Lamont - Detached,"['Grime', 'Dubstep']",['Electronic']
357,Cousin   Ruff Draft,Cousin - Ruff Draft,"['Grime', 'Garage House']",['Electronic']
358,David Goren   Brooklyn Pirates  Neighbourhoods in the Sky  2014 2021,David Goren - Brooklyn Pirates- Neighbourhoods in the Sky- 2014-2021,"['Public Broadcast', 'Lovers Rock', 'Dancehall']","['Reggae', 'Non-Music', 'Stage & Screen']"
359,Elgato   Tonight   Blue,Elgato - Tonight - Blue,"['House', 'Minimal', 'Breakbeat']",['Electronic']
360, Soundbwoy Killah   Halcyon Daze ,[SNKRLP004] Soundbwoy Killah - Halcyon Daze (2019),"['Breakbeat', 'Ambient', 'Hardcore', 'Techno', 'House', 'UK Garage']",['Electronic']
361,CS + Kreme   EP #1,CS + Kreme - EP #1,"['Downtempo', 'Experimental']",['Electronic']
362,Jerome   Moods,Jerome - Moods,"['Afro-Cuban Jazz', 'Bop']",['Jazz']
363,Rezzett   Rezzett LP,Rezzett - Rezzett LP,"['Techno', 'Ambient', 'Drum n Bass', 'Lo-Fi']",['Electronic']
364,Grim Lusk   Search,Grim Lusk - Search.mp3,"['Industrial', 'Dub', 'Electro', 'Experimental', 'Hip Hop']",['Electronic']
366,Manse   Cymbal Shudder,Manse - Cymbal Shudder,['Techno'],['Electronic']
368,Significant Other   Postdrome EP,Significant Other - Postdrome EP,"['Broken Beat', 'Techno']",['Electronic']
369,Blade  Evil Forces EP,Blade -Evil_Forces_EP,['Drum n Bass'],['Electronic']
371,LCY   LCY,LCY - LCY,"['Pop Rock', 'Glam']",['Rock']
375,Sparse   Sparse #1,Sparse - Sparse #1,['Ambient'],['Electronic']
376, BODDIKA   Acid Jackson Basement ,[SWAMP019] BODDIKA - Acid Jackson-Basement (2012),"['Acid', 'Electro']",['Electronic']
377, Soundbwoy Killah   Come My Selector ,[SNKR015] Soundbwoy Killah - Come My Selector (2018),"['Breakbeat', 'Garage House']",['Electronic']
378,Jake Muir   the hum of your veiled voice,Jake Muir - the hum of your veiled voice,"['Ambient', 'Experimental']",['Electronic']
379,XXIII   XXIII   VOLUME 2,XXIII - XXIII - VOLUME 2,['Renaissance'],['Classical']
381,forest drive west   apparitions ,forest drive west - apparitions [livity033],"['Techno', 'Electro', 'Ambient']",['Electronic']
382,Lil Durk   Im Still a Hitta,Lil Durk - I'm Still a Hitta,"['Trap', 'Drill']",['Hip Hop']
383,Rakim   The Master,Rakim - The Master,['Conscious'],['Hip Hop']
384,Debmaster   1av2,Debmaster - 1av2.mp3,"['Juke', 'Bass Music', 'Hip Hop', 'Instrumental']","['Electronic', 'Hip Hop']"
386,Hodge   Amor Fati    Tilikum ,Hodge - Amor Fati (Peverelist remix) - Tilikum (Hodge remix),['Techno'],['Electronic']
387,Paleman   Beezeldub,Paleman - Beezeldub,['House'],['Electronic']
388,Bambounou x Bruce   Final Conference,Bambounou x Bruce - Final Conference,"['Experimental', 'Techno']",['Electronic']
389,XXIII   XXIII   VOLUME 5,XXIII - XXIII - VOLUME 5,"['Psy-Trance', 'Progressive Trance']",['Electronic']
390, People Plus   Olympus Mons EP ,[INC003] People Plus - Olympus Mons EP (2018),"['Techno', 'Abstract']",['Electronic']
391, Nick Klein   Rhinestone Cowboy,[LIES089] Nick Klein - Rhinestone Cowboy,"['Techno', 'Industrial', 'Experimental']",['Electronic']
392,Yung Beef   Perreo de la Muerte 2 ,"Yung Beef - Perreo de la Muerte 2 [Spain,2019]","['Trap', 'Reggaeton']","['Hip Hop', 'Latin']"
393,Basic Rhythm   2 Da Core,Basic Rhythm - 2 Da Core,"['Juke', 'Jungle']",['Electronic']
394,Otik   Wetlands,Otik - Wetlands,['Techno'],['Electronic']
397,Weeshuis Der Verloren Zielen EP,Weeshuis Der Verloren Zielen EP,"['Techno', 'Acid']",['Electronic']
398,Rosso Polare   Bocca Dombra,Rosso Polare - Bocca D'ombra,"['Experimental', 'Ambient', 'Leftfield', 'Avant-garde Jazz']","['Electronic', 'Jazz', 'Folk, World, & Country']"
399,Hodge   HEK025 ,Hodge - HEK025 (2015),['Techno'],['Electronic']
400,Never mind   Short stay  ,Never mind - Short stay (2019) (flac),"['Dubstep', 'Grime']",['Electronic']
402,Luca Lozano   Gun Fingers ,Luca Lozano - Gun Fingers ,"['Techno', 'House']",['Electronic']
403,Nikolajev   LEL EP,Nikolajev - LEL EP,"['Ambient', 'Darkwave']",['Electronic']
404,Laksa   Sen On One,Laksa - Sen On One,"['Techno', 'Dubstep', 'Dancehall']",['Electronic']
407,Yao Bobby   Simon Grab   Black Revolution,Yao Bobby & Simon Grab - Black Revolution.mp3,"['Experimental', 'Conscious']","['Electronic', 'Hip Hop']"
408,Coco Bryce   Tommy The Cat   Coco   The Cat Return ,Coco Bryce - Tommy The Cat - Coco & The Cat Return (CITB007),['Jungle'],['Electronic']
409,Loefah   Ruffage,Loefah - Ruffage.mp3,['Dubstep'],['Electronic']
410,Peverelist   Undulate   Grit,Peverelist - Undulate - Grit,['Techno'],['Electronic']
411,PEDRO   Na Quebrada ,PEDRO - Na Quebrada (feat. Rincon Sapiência),['Bass Music'],"['Electronic', 'Folk, World, & Country']"
412,STILL   Haile Selassie Is The Micro Chip ,STILL - Haile Selassie Is The Micro-Chip (NÍDIA Remix).mp3,"['Experimental', 'Dub', 'Dancehall']","['Electronic', 'Reggae']"
413,Tessela   Lanark Artefax   Blue 01,Tessela - Lanark Artefax - Blue 01,"['Techno', 'Electro', 'Broken Beat']",['Electronic']
414,Loefah   The Goat Stare,Loefah - The Goat Stare.mp3,['Dubstep'],['Electronic']
416,Reflec   BHM,Reflec - BHM,"['Techno', 'Breakbeat']",['Electronic']
417,Branko + PEDRO   MPTS,Branko + PEDRO - MPTS,['Bass Music'],['Electronic']
418,Huerco S.   Plonk,Huerco S. - Plonk,"['Experimental', 'Ambient', 'Abstract', 'IDM']",['Electronic']
419,Pearson Sound   Starburst EP,Pearson Sound - Starburst EP,"['Techno', 'Grime']",['Electronic']
420,PEDRO   DL,PEDRO - DL,"['Ballad', 'Disco']","['Latin', 'Pop']"
