Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
HEK015,Randomer,Scruff Box / Get Yourself Together,Hemlock Recordings,"12""",,2012,3410371,Classics,2019-05-02 20:14:56,Mint (M),Mint (M),
HES014,Joe (43),Claptrap,Hessle Audio,"12""",,2010,2307492,Classics,2019-05-02 20:18:17,Mint (M),Generic,
HES015,Elgato,Tonight,Hessle Audio,"12""",,2010,2489523,Classics,2019-05-02 20:19:08,Mint (M),Generic,
HES018,Peverelist,Dance Til The Police Come,Hessle Audio,"12""",,2011,2801759,Classics,2019-05-02 20:18:00,Mint (M),Generic,
HES019,Objekt,Cactus,Hessle Audio,"12""",,2012,3394241,Classics,2019-05-02 20:17:40,Mint (M),Generic,
HES024,Peverelist & Kowton,Raw Code,Hessle Audio,"12""",,2013,4262703,Classics,2019-05-02 20:18:38,Mint (M),Generic,
HES030,Batu (4),Marius EP,Hessle Audio,"12"", EP",,2017,10446667,Picks,2019-05-01 21:59:59,Mint (M),Mint (M),
HES033,Pangaea (4),Bone Sucka,Hessle Audio,"12""",,2018,11567639,Various,2019-05-01 21:51:54,Mint (M),Generic,
HESLP004,Bruce (40),Sonder Somatic,Hessle Audio,"2x12"", Album",,2018,12778910,Uncategorized,2022-03-25 06:59:00,Mint (M),Mint (M),
HPS 086,Olive Ranks,85 Shack,Hi Power Music,"7""",,0,4163496,Uncategorized,2021-07-04 13:30:22,,,
HPS-0136,Blackout Ja Feat. Chantaleaze / The Taxi Gang,Baltimore Revolution / Baltimore Revolution Dub ,Hi Power Music,"7""",,2015,7950597,Uncategorized,2021-08-21 03:42:52,,,
HR13,Sebastiano Carghini,Delicate Droplets,Hideous Replica,"CD, Album, Ltd",,2016,9498010,Uncategorized,2021-07-05 01:59:49,,,
HMZ005,Giesse,Goji,HomeMadeZucchero,"12"", Ltd",,2019,14235785,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Near Mint (NM or M-),
HJP095,Madteo,Str8 Crooked,Honest Jon's Records,"12"", EP",,2021,20062252,Uncategorized,2021-09-09 02:52:00,,,
HOS356,Silent Servant,"Negative Fascination (Extended 12"" Mixes)",Hospital Productions,"12""",,2012,3887702,Uncategorized,2021-06-28 07:11:56,,,
HOTLINE002,Lurka,Full Clip / BR Greaze,Hotline Recordings,"12"", EP, RP",,2017,11150286,Uncategorized,2020-09-20 08:37:11,,,
Hotline013,Beneath (3),Seeus,Hotline Recordings,"12"", Single",,2017,9919605,Uncategorized,2022-03-07 03:31:07,Very Good (VG),Very Good Plus (VG+),
Hotline015,Lurka,Stush / Wrapped Up,Hotline Recordings,"12""",,2017,11181244,Picks,2019-05-01 22:05:23,Mint (M),Mint (M),
PRPLP036,King Tubby Meets The Ring Craft Posse,Lost Dub From The Vault,Hulk,"LP, Album",,2019,14259547,Uncategorized,2020-06-19 06:41:39,Mint (M),Mint (M),
H036,Piezo (2),Perdu,Hundebiss,"LP, Album, Ltd",,2020,15993816,Uncategorized,2021-07-05 01:59:13,,,
HDB117,Nazar (6),Enclave,Hyperdub,"12"", EP",,2018,13086138,Various,2019-05-01 21:18:43,Mint (M),Mint (M),
0777 7 13159 2 3,R.E.M.,Reckoning,I.R.S. Records,"CD, Album, RE",,1992,20360764,Uncategorized,2022-03-04 15:04:52,,,
"0777 7 13158 2 4, 713158-2, 7 13158 2",R.E.M.,Murmur,"I.R.S. Records, I.R.S. Records, I.R.S. Records","CD, Album, RE, EMI",,1992,21989062,Uncategorized,2022-03-04 15:06:15,,,
IDLE013,"Outboxx, Atki2",Tribute to Disc Shop Zero,Idle Hands,"10""",,2017,10913282,Sell,2019-05-01 22:06:33,Mint (M),Generic,
IDLE063,O$VMV$M,Phase 4 / Witch Linen,Idle Hands,"10"", EP",,2020,16216404,Uncategorized,2021-08-21 03:48:46,,,
ISS003,Skee Mask,808BB,Ilian Tape,"12""",,2019,13120236,Uncategorized,2022-02-23 00:11:58,,,
ITLP10,Jake Muir,Mana,Ilian Tape,"LP, Album",,2021,21003544,Uncategorized,2022-02-23 00:06:39,,,
"7243 8 12424 0 7, CDVUS220",30 Seconds To Mars,30 Seconds To Mars,"Immortal Records (3), Virgin","CD, Album, Enh, RE, Son",,0,15853550,Uncategorized,2022-03-04 15:32:48,,,
INSMS01,Vera Dvale,Garden Of Feelings,"In The Neighborhood Of The Sun, The Moon And The Stars","LP, Album",,2021,17377807,Uncategorized,2022-02-18 09:50:26,,,
1STONECIRCLESAMPLER,Stonecirclesampler,Save The Stones!,Industrial Coast,"Cass, Album",,2021,21222739,Uncategorized,2022-03-04 11:22:05,,,
ICEND,endorphin (13),It's got this vitality that sort of feels like it's half real,Industrial Coast,"Cass, Album",,2020,15758539,Uncategorized,2022-03-04 10:16:49,,,
none,Scott King (3),Roy Castle & The Vandellas,Industrial Coast,"Cass, Ltd, Blu",,2020,15893144,Uncategorized,2022-03-04 10:04:12,,,
none,TSM (8),NOISE-HEAD - Lowest Form Home Recordings 1990-1999,Industrial Coast,"Cass, Ltd",,2021,18472759,Uncategorized,2022-03-04 10:36:56,,,
none,The Four Plugs,Lost Tapes 1979-80,Industrial Coast,"Cass, Album, Comp, Ltd, 50 ",,2021,18331843,Uncategorized,2022-03-04 10:46:56,,,
none,Scott King (3),War Story,Industrial Coast,"Cass, Ltd",,2020,16572789,Uncategorized,2022-03-04 11:06:06,,,
IMRV016,Mikael (14),Wildfire,Innamind Recordings,"10""",,2016,8540115,Various,2019-05-01 22:05:52,Mint (M),Generic,
ITKC01,White Mice (2),Step By Step,Intelitec Muzik,"7"", Single",,2019,14550402,Uncategorized,2020-05-13 15:54:53,Near Mint (NM or M-),,
9863524,The Killers,Hot Fuss,Island Records,"CD, Album",,2005,2765776,Uncategorized,2022-03-04 15:20:47,,,
CS26,Delroy Wilson,Just Say Who,Jackpot (2),"7"", RE",,2013,4990273,Uncategorized,2020-10-21 22:09:22,,,
JFR1228,The Creation Steppers,Kill Nebuchadnezzar,Jah Fingers Music,"12""",,2017,10336952,Uncategorized,2021-07-04 13:45:34,,,
SHAKA 953,Jah Shaka Featuring Max Romeo,Dub Salute 4,Jah Shaka Music,"LP, Album",,1995,860535,Various,2019-05-01 21:22:34,Mint (M),Mint (M),
SHAKA2101,Young Warrior,Master's Choice,Jah Shaka Music,"7""",,2021,19145926,Uncategorized,2021-08-21 03:31:36,,,
JW736,Jah Warrior & Natty Princess Horns,Revolutionary Mind,Jah Warrior Records,"7"", Single",,2021,18102736,Uncategorized,2021-07-04 13:33:25,,,
JRLP004,Lee Perry,Skanking With The Upsetter - Rare Dubs 1971-1974,Jamaican Recordings,"LP, Comp",,2001,95075,Uncategorized,2021-09-20 22:48:22,Near Mint (NM or M-),Near Mint (NM or M-),
JRLP039,Lee Perry,Dub Treasures From The Black Ark - Rare Dubs 1976-1978,Jamaican Recordings,"LP, Comp",,2010,2591108,Uncategorized,2021-09-20 22:48:22,Mint (M),Mint (M),
JAMWAX11,Vernon Maytone,Old Pan Sound,Jamwax,"7"", RE",,2016,8949650,Uncategorized,2022-05-09 05:19:26,Mint (M),Mint (M),
JAMWAX11,Vernon Maytone,Old Pan Sound,Jamwax,"7"", RE",,2016,8949650,Uncategorized,2022-05-25 18:14:36,Mint (M),,
JAMWAX12,Pep (11),Crisis,Jamwax,"7"", RE",,2016,9113952,Uncategorized,2022-05-09 05:19:32,Mint (M),Mint (M),
JAMWAX12,Pep (11),Crisis,Jamwax,"7"", RE",,2016,9113952,Uncategorized,2022-05-25 18:14:36,Mint (M),,
JBLP001,Japan Blues,Sells His Record Collection,Japan Blues,LP,,2017,9773171,Uncategorized,2021-07-12 05:35:32,Mint (M),Mint (M),
none,Ranking Dread,Hard Times,Justice (2),"7""",,2016,8698334,Uncategorized,2021-07-04 13:26:11,,,
none,Neville Brown / John Wayne (2),Right Time / Boogie Down,Justice (2),"7"", RE",,0,3748535,Uncategorized,2021-07-04 13:27:50,,,
PSLP 97,Bunny Lee & The Aggrovators,Super Dub Disco Style,"Justice (2), Pressure Sounds","LP, Album, RE",,2018,11664792,Uncategorized,2020-12-02 11:44:06,,,
KHT007,Spirinet,Energy Formula,K-HOLE TRAX,"Cass, Album",,2021,19170388,Uncategorized,2022-03-04 10:39:49,,,
KZN001,Biome (2),Griddled,Kaizen,"12""",,2016,8045702,Picks,2019-05-01 21:56:17,Mint (M),Mint (M),
none,Laure Boer,Agate Et La Pierre De Sable,Kashual Plastik,"Cass, MiniAlbum, Ltd",,2020,17142370,Uncategorized,2022-03-04 10:15:55,,,
KELP011,King Earthquake,The Wrath Of Jah,King Earthquake,"LP, Album",,2015,6978456,Uncategorized,2021-08-20 02:44:34,,,
KH035,Ssiege,Meteora,Knekelhuis,"12"", EP",,2021,17642851,Uncategorized,2021-07-04 13:18:43,,,
KHS 011,Sebastiano Carghini,Tpeso,Kohlhaas,"LP, S/Sided",,2017,11603643,Uncategorized,2021-07-05 01:59:36,,,
Konglomerat01,Seven Sisters (5),The Pursuit Ep,Konglomerat,"23xCass, EP",,2020,15368657,Uncategorized,2022-03-04 10:17:23,,,
LACR-031,Delroy Edwards,Change The World,L.A. Club Resource,"12"", Album, Ltd",,2021,21385045,Uncategorized,2022-01-26 06:16:35,,,
LACR006,Skander,Dirge,L.A. Club Resource,"12""",,2014,5910070,Uncategorized,2022-08-09 09:00:10,,,
LACR015,Delroy Edwards,Kickin Butts!!,L.A. Club Resource,"12"", EP",,2015,6578576,Uncategorized,2022-08-01 02:26:45,,,
LACR020,Delroy Edwards,Hangin' At The Beach,L.A. Club Resource,"CD, Album",,2016,8868425,Uncategorized,2022-01-28 02:41:16,Very Good (VG),Very Good Plus (VG+),
LIES 154,Marcos Cabral,Spell Breaker,L.I.E.S. Records,"LP, Album",,2020,15693784,Uncategorized,2022-01-26 06:10:35,,,
LIES-144,Deecoy,Archives Vol. 2,L.I.E.S. Records,"12"", EP",,2019,14338478,Uncategorized,2022-01-26 06:14:06,,,
LIES-159,DJ Overdose,Emulator Armour,L.I.E.S. Records,"2xLP, Album",,2020,16821966,Uncategorized,2022-09-12 13:25:09,,,
LIES-169,Steve Summers (3),Generation Loss,L.I.E.S. Records,"2xLP, Album",,2021,20306080,Uncategorized,2022-08-09 09:04:06,,,
LIES015,Delroy Edwards,4 Club Use Only,L.I.E.S. Records,"12"", EP",,2012,3830989,Uncategorized,2022-01-26 02:31:21,Very Good Plus (VG+),Generic,
LIES024,Delroy Edwards,White Owl,L.I.E.S. Records,"12""",,2013,4568811,Uncategorized,2022-05-09 05:19:32,Mint (M),Mint (M),
LIES031,Beau Wanzer,Beau Wanzer,L.I.E.S. Records,"12""",,2013,4811329,Uncategorized,2022-05-09 05:19:04,Very Good Plus (VG+),Generic,
LIES039,Marcos Cabral,Capri Social,L.I.E.S. Records,"12""",,2013,5029459,Uncategorized,2022-05-09 05:19:32,Near Mint (NM or M-),Generic,
LIES050,Randomer,Residents,L.I.E.S. Records,"12""",,2014,5864702,Uncategorized,2022-05-09 05:19:04,Very Good Plus (VG+),Generic,
LIES075,33.10.3402,LIES075,L.I.E.S. Records,"12"", S/Edition, W/Lbl",,2016,8525704,Uncategorized,2022-01-26 06:15:09,,,
LIES104,Svengalisghost,TV Live,L.I.E.S. Records,"12"", Album",,2017,11166239,Uncategorized,2022-08-09 09:11:15,,,
LIES118,Fernando Seixlack,Fernando,L.I.E.S. Records,"LP, Album",,2018,12341414,Uncategorized,2022-01-28 02:41:16,Near Mint (NM or M-),Near Mint (NM or M-),
LIES121,Beau Wanzer,Beau Wanzer,L.I.E.S. Records,"12""",,2018,12682307,Uncategorized,2021-08-03 02:37:09,,,
LIES131,TV.OUT,TV.OUT,L.I.E.S. Records,"12""",,2019,13476873,Uncategorized,2022-01-26 06:11:55,,,
LIES150,Delroy Edwards,Slap Happy,L.I.E.S. Records,LP,,2020,14691875,Uncategorized,2021-08-03 02:36:05,Mint (M),Mint (M),
"LIES033, L.I.E.S. 033",Legowelt,Teen Romance,"L.I.E.S. Records, L.I.E.S. Records","12""",,2013,4982497,Uncategorized,2021-06-28 07:11:30,,,
LAGO 4,Jah Wobble's Invaders Of The Heart,Invaders Of The Heart,Lago Records (UK),"12"", M/Print",,1983,61057,Uncategorized,2021-09-20 22:48:22,Near Mint (NM or M-),Very Good Plus (VG+),
LASH01,Weird Weather,Tongue Drum,LASH00,"12"", EP, Maxi",,2020,14869140,Uncategorized,2021-07-05 01:42:39,,,
LASH02,Weird Weather,Succulents,LASH00,"12"", EP, Maxi",,2021,19147597,Uncategorized,2021-08-21 04:17:37,,,
LMIVLP,Sarah Davachi,Antiphonals,Late Music,"LP, Album",,2021,20179525,Uncategorized,2022-03-04 09:25:55,,,
LSR018,JoeFarr,Spectate Ep,Leisure System,"12"", EP",,2016,8549270,Early,2019-05-02 20:08:14,Mint (M),Mint (M),
BZH002,Clara! y Maoupa Mazzocchetti,Meneo,Les Disques De La Bretagne,"12"", Cle",,2018,12248562,Uncategorized,2022-04-01 05:29:11,Very Good Plus (VG+),,
BZH006,King Doudou,Novinha / Tremendo Bumbum,Les Disques De La Bretagne,"12"", Ltd, Cle",,2019,13512184,Uncategorized,2022-04-01 05:29:11,Very Good Plus (VG+),,
BZH007,Low Jack,Jingles du Lieu-dit,Les Disques De La Bretagne,"12"", Album, Cle",,2019,13765512,Uncategorized,2020-09-20 08:29:47,,,
LEJEP001,Kufuki,Dodome Ep,Les Editions Japonais,"12"", Ltd",,2018,11818120,Uncategorized,2021-07-12 05:35:32,Mint (M),Mint (M),
TRAD13 ,DJ Savage,Time Travel Phase I ,Libertine Records (5),"12"", Ltd, W/Lbl, Han",,2019,14450237,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Generic,
LMS001R,Babe Roots,Babe Roots,Linear Movement,"LP, Album, RP",,2019,15847858,Uncategorized,2022-03-04 09:14:12,,,
LIONCHG7003,J. Robinson (10) Meets Cessman & K Man (3),Ramsgate / Dub,Lion Charge Records,"7""",,2016,8415251,Picks,2019-11-04 18:40:32,Mint (M),Generic,
LIVITY 020 ,Asusu,Hallucinator ,Livity Sound,"12""",,2016,9155008,Picks,2019-05-02 20:04:43,Mint (M),Near Mint (NM or M-),
LIVITY 025 ,Hodge (3),No Single Thing ,Livity Sound,"12""",,2017,10505750,Picks,2019-05-01 22:00:31,Mint (M),Near Mint (NM or M-),
LIVITY027,I-iii,Dolce,Livity Sound,"12""",,2017,10958208,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
LIVITY032,Toma Kami,Sharp Tool In The Shed / Land Of The Insane,Livity Sound,"12"", Single",,2018,12485238,Picks,2019-05-01 21:23:09,Mint (M),Mint (M),
LIVITY036,Two Shell,Access EP,Livity Sound,"12"", EP",,2019,14229739,Picks,2019-11-07 07:22:50,Mint (M),Mint (M),
LIVITY042,DJ Plead,Going For It E.P.,Livity Sound,"12"", EP",,2020,15993708,Uncategorized,2022-04-01 05:29:11,Near Mint (NM or M-),,
"Livity 009, #9",Peverelist & Asusu / Peverelist & Kowton,MMM & Pangaea Remixes,"Livity Sound, Livity Sound","12""",,2014,5460506,Sell,2019-05-01 22:08:38,Mint (M),Generic,
LT001,Palms Trax,Equation EP,Lobster Theremin,"12"", EP",,2013,4919827,Uncategorized,2022-01-26 02:31:21,Near Mint (NM or M-),Very Good Plus (VG+),
"L&L #125, BKV 049",Felinto (2),Não Tem Volta,"Lovers & Lollypops, Bokeh Versions",Cass,,2022,22095259,Uncategorized,2022-03-04 10:32:45,,,
LLC05,Various,Omnia Vanitas,Lowlife Cartel,"12"", EP, Eme",,2020,16186214,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
MNBN01,Toma Kami,Dali Bear ,Man Band rec.,"12"", EP",,2017,9472638,Uncategorized,2022-04-16 02:00:30,Near Mint (NM or M-),Near Mint (NM or M-),
"210 694, 210694",Lee Perry,From The Secret Laboratory,"Mango, Mango","LP, Album",,1990,1308246,Uncategorized,2021-09-20 22:48:22,Very Good Plus (VG+),Very Good Plus (VG+),
MDR013,Stromboli (3),Volume Uno,Maple Death Records,"LP, Album",,2017,9721849,Uncategorized,2021-07-05 02:08:00,,,
MDR035,Catholic Block,We Fail,Maple Death Records,"Cass, Album, Ltd",,2020,16000281,Uncategorized,2022-03-04 10:34:50,,,
MDR038,Whitney K,Two Years,Maple Death Records,"CD, Album",,2021,16525944,Uncategorized,2022-03-04 15:18:48,,,
MDR042,Ancient Plastix,S/T ,Maple Death Records,"Cass, Album, Han",,2020,16303229,Uncategorized,2022-03-04 10:51:42,,,
MDR044,Wisecrack (4),Wisecrack,Maple Death Records,"Cass, EP, Ltd, Han",,2020,16096678,Uncategorized,2022-03-04 10:40:06,,,
none,Red Rat,Bun Dem,Maximum Sound,"7""",,2005,12794922,Uncategorized,2021-07-04 13:37:52,,,
MBE005,Paul Daley,MBE005,MBE series,"Cass, Mixtape, Num, C60",,2021,17473300,Uncategorized,2022-03-04 11:18:44,,,
MBE006,Evol,EVOL 808,MBE series,"Cass, Mixtape, Num",,2021,20145922,Uncategorized,2022-03-04 11:19:00,,,
MCDE 1202,Motor City Drum Ensemble,Raw Cuts # 3 / Raw Cuts # 4,MCDE,"12""",,2008,1487139,Various,2019-05-02 20:14:09,Mint (M),Generic,
MR008,Memotone,SHIRO,Memorecs,"Cass, Album",,2021,20784349,Uncategorized,2022-03-04 10:18:58,,,
ORLP17,Augustus Pablo,East Of The River Nile,"Message, Onlyroots Records","LP, Album, RE",,2019,14535161,Uncategorized,2020-06-19 06:41:39,Mint (M),Mint (M),
MINDCUT 08,Myler,Dixies James Ep,Mindcut,"12""",,2016,7830265,Early,2019-05-02 20:07:50,Mint (M),Generic,
MISTY003,Chevel,Tank / Beaviane,Mistry,"12""",,2014,6304509,Picks,2019-05-02 20:10:10,Mint (M),Generic,
MSTRY005,Batu (4),Dekalb / Collate,Mistry,"12""",,2015,7514480,Picks,2019-05-01 21:47:58,Mint (M),Generic,
MSTRY006,Gaunt (6),Crowd Noise / JP / MMRH / SP12,Mistry,"12""",,2015,7823207,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Generic,
"28 629, 28629",Ströer Duo,Fluchtweg Madagaskar,"Mood Records, Mood Records","LP, Album",,1982,964197,Uncategorized,2021-08-21 03:50:07,,,
MORD010,Ansome,Penny & Pound EP ,Mord,"12"", EP",,2014,6021043,Early,2019-05-02 20:07:26,Mint (M),Generic,
"CDStumm172, 5016025611720",Moby,Play,"Mute, Mute","CD, Album",,1999,2195686,Uncategorized,2022-03-04 12:01:13,,,
MYSTB003,The Prince Stoner,U.V Dub ,Mystery Booms,"7""",,2020,16062786,Uncategorized,2022-03-04 09:00:48,,,
natural009,DJ Seinfeld,Ruff Hysteria,Natural Sciences,"12"", EP",,2017,9930182,Uncategorized,2022-01-26 02:31:20,Near Mint (NM or M-),Generic,
NATURAL055,Various,Embryo Issue #1,Natural Sciences,"12"", Mag + File, MP3, Mixed",,2022,24312275,Uncategorized,2022-10-10 10:42:28,,,
NH008,DJ Plead,Pleats Plead EP,Nervous Horizon,"12"", EP",,2019,13279535,Uncategorized,2022-04-01 05:29:12,Very Good Plus (VG+),,
ndh-003,Babe Roots,State Of Mind / Extent,Newdubhall,"10""",,2020,15229970,Uncategorized,2020-05-13 15:53:19,Near Mint (NM or M-),,
Npr007,The Leeches (2),Fun Is Dead,Nextpunk Records,"CD, Album",,2006,7712838,Uncategorized,2022-03-04 15:33:10,,,
NC007=12,Seekers International,Rootprinciple Remastered Roots Version,No Corner,"LP, Album",,2021,19417642,Uncategorized,2022-10-10 10:45:28,,,
NOSM005,Beneath (3),No Symbols 005,No Symbols,"12"", W/Lbl",,2016,8127805,Early,2019-05-01 21:44:28,Mint (M),Generic,
none,Ossia (2),ВЫСТУПЛЕНИЕ НА ИСКОРКЕ  05/2021,Not On Label,"Cass, Ltd, Mixed, Liv",,2022,21796162,Uncategorized,2022-03-04 11:22:34,,,
none,Ossia (2),"Live At West Germany, Berlin 10.10.2019",Not On Label,"Cass, Liv",,2020,16485108,Uncategorized,2022-03-04 11:24:32,,,
190296916632,AJ Tracey,AJ Tracey,Not On Label (AJ Tracey Self-released),"CD, Album",,2019,13213727,Uncategorized,2022-03-04 11:43:59,,,
BW 03,Corporate Park / Beau Wanzer,Untitled,Not On Label (Beau Wanzer Self-released),"LP, Album",,2015,7544374,Uncategorized,2022-05-09 05:19:32,Mint (M),Very Good Plus (VG+),
BTX 000,Buttechno,СПОРТ,Not On Label (Buttechno Self-released),"12"", Album, Ltd",,2015,7572372,Uncategorized,2022-05-09 05:19:04,Very Good Plus (VG+),Generic,
BTX 000,Buttechno,СПОРТ,Not On Label (Buttechno Self-released),"12"", Album, RP, W/Lbl",,2016,9440558,Uncategorized,2022-07-06 05:16:01,,,
22-29-35-56,Low Jack,Virgin Traf 22 / Grass 29,Not On Label (Low Jack Self-released),"7"", Ltd",,2019,14095588,Uncategorized,2022-04-01 05:29:11,Very Good Plus (VG+),,
none,O.G. Jigg,Originals​/​Remixes,Not On Label (Memotone Self-released),"Cass, Album",,2020,16276546,Uncategorized,2022-03-04 10:55:13,,,
none,Ossia (2),Drones + Melodies,Not On Label (Ossia Self-released),"Cass, MiniAlbum, Promo",,2020,17662246,Uncategorized,2022-03-04 11:00:48,,,
NB006,DJ F16 Falcon,Ici Commence La Nuit,Notte Brigante,"7"", EP",,2021,20584276,Uncategorized,2022-03-04 09:03:03,,,
NB01t,HLM38,Stranger Than Dub,Notte Brigante,"Cass, EP",,2020,16066434,Uncategorized,2022-03-04 10:24:45,,,
US018,Ayln,Rehtom,Nous,"12"", EP",,2018,12584922,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),,
"NOMU100CD, 392.0100.020",Plastikman,Closer,"NovaMute, PIAS Benelux","CD, Album",,2003,635772,Uncategorized,2022-03-04 15:38:02,,,
PSS152,Vivian Jackson & The Ralph Brothers,Conquering Lion,"Now (13), Pressure Sounds","7""",,2020,15520346,Uncategorized,2020-10-21 22:07:32,,,
NNT022,Duma (6),Duma,Nyege Nyege Tapes,"Cass, Album, Ltd",,2020,15905418,Uncategorized,2020-09-20 16:06:13,,,
NNT023MT,DJ Chengz,St Lucian Kuduro Mixtape,Nyege Nyege Tapes,"Cass, Comp, Ltd, Mixed, Mixtape",,2020,15659814,Uncategorized,2020-09-20 16:07:19,,,
NNT024,HHY & The Macumbas,Camouflage Vector - Edits From Live Actions 2017-2019,Nyege Nyege Tapes,"Cass, Ltd",,2020,15479980,Uncategorized,2020-09-20 16:05:51,,,
OBJEKT 004 ,Objekt,Objekt #4,Objekt,"12"", W/Lbl, Sta",,2017,10046369,Uncategorized,2022-04-16 02:00:30,Mint (M),Generic,
OBJEKT001,Objekt,Objekt001,Objekt,"12"", RE",,2012,3456192,Classics,2019-05-02 20:13:42,Mint (M),Generic,
OTCR12009,DJ Khalab,Zaire EP,On The Corner Records,"12"", EP",,2018,11532745,Various,2019-05-01 21:53:14,Mint (M),Mint (M),
ON-U LP47,Dub Syndicate,Strike The Balance,On-U Sound,"LP, Album",,1989,173282,Uncategorized,2021-09-20 22:48:22,Near Mint (NM or M-),Very Good Plus (VG+),
ONULP133,African Head Charge,Return Of The Crocodile,On-U Sound,"LP, Album",,2016,9255829,Uncategorized,2021-07-12 05:35:32,Mint (M),Mint (M),
"ONULP19, LP19",African Head Charge,Environmental Studies,"On-U Sound, On-U Sound","LP, Album, RE",,2016,8010572,Uncategorized,2021-06-15 03:53:45,Mint (M),Mint (M),
0027,Arthur Russell,Another Thought,Orange Mountain Music,"CD, Album, RE, RM",,2006,14088037,Uncategorized,2022-03-04 15:39:57,,,
OS004,Big Hands (3),Lakamha,Oscilla Sound,"12""",,2021,17663770,Uncategorized,2021-07-04 14:12:49,,,
OSMUK 040EP ,Manni Dee,"Dreams, Fears & Idols",Osiris Music UK,"12"", EP",,2014,6199910,Uncategorized,2021-06-01 06:41:32,Near Mint (NM or M-),Generic,
OCS003,Shifted,Telic,Our Circula Sound,"12""",,2011,3292523,Uncategorized,2021-06-28 07:12:05,,,
005,Reptilian Expo,xperiametaphone,Pampsychia,"Cass, Album",,2019,16161643,Uncategorized,2022-05-25 08:21:35,,,
007,Rorschac,Lolophophora,Pampsychia,"Cass, Album",,2020,16161708,Uncategorized,2022-08-23 08:51:34,,,
PPCS002,Lamont (12),Shadows / Pondering,Paper Cranes,"12"", Single, Num",,2015,7599491,Various,2019-05-01 22:01:27,Mint (M),Generic,
PAR002 ,Henry Greenleaf,Fold Together,Par Avion,"12"", W/Lbl, Han",,2018,12831072,Picks,2019-05-01 21:31:41,Mint (M),Mint (M),
PAR003,Agrippa,Dead Wait EP ,Par Avion,"12"", EP, W/Lbl, Han",,2019,13741305,Uncategorized,2022-05-09 05:19:32,Mint (M),Mint (M),
PRTLLP009,The Disciples (2), Infinite Density Of Dub ,Partial Records,"LP, RE",,2021,18455557,Uncategorized,2021-08-21 03:56:19,,,
PEARS3 ,Pearson Sound,Rubble,Pearson Sound,"12""",,2018,12809198,Picks,2019-05-01 21:24:19,Mint (M),Mint (M),
PengSound006,Ishan Sound,Ishan Sound,Peng Sound,"2x12"", RP",,2015,7107454,Uncategorized,2022-01-28 02:41:16,Very Good Plus (VG+),Near Mint (NM or M-),
PENGSOUND008,Ishan Sound ft. Rider Shafique,Trojan,Peng Sound,"2x10"", EP, RP",,2016,9930098,Sell,2019-05-01 21:06:53,Mint (M),Mint (M),
PB006,Various,Inverted Echoes,Pho Bho Records,"12"", EP, S/Edition, Gre",,2022,21247936,Uncategorized,2022-04-07 19:38:38,,,
CDPIR 1259,Sin Palabras,House Of Drums,Piranha,"CD, Album",,1998,7414196,Uncategorized,2021-08-21 03:25:34,,,
PLQ07,O.G. Jigg,Dominion Window,Plaque Records,Cass,,2022,23607989,Uncategorized,2022-07-06 05:29:33,,,
PLMN 001,Paleman,PLMN 001,PLMN,"12"", Ltd, W/Lbl, Sta",,2016,9485551,Picks,2019-05-01 21:52:42,Mint (M),Generic,
POLY008,Overmono,Raft Living,Poly Kicks,"12""",,2018,12610190,Picks,2019-05-01 21:26:13,Mint (M),Mint (M),
POLY010,Joy Orbison,50 Locked Grooves,Poly Kicks,"12""",,2019,13579711,Various,2019-05-15 09:19:12,Mint (M),Mint (M),
3715319,The Velvet Underground & Nico (3),The Velvet Underground & Nico,"Polydor, Universal Music Group International","CD, Album, RE, RM",,2012,4828089,Uncategorized,2022-03-04 15:38:56,,,
none,Suckdog,Drugs Are Nice,Post-Materialization Music,"Cass, Ltd",,2017,11748248,Uncategorized,2022-03-04 10:34:21,,,
PRE004,Yolabmi,Ordinary Days,Prepaid Records,"Cass, Album, Ltd, 40",,2021,17655655,Uncategorized,2022-03-04 10:17:46,,,
PSLP 90,"Skin, Flesh & Bones",Dub In Blood,Pressure Sounds,"LP, Album, RE, TP",,2016,15799519,Uncategorized,2021-07-05 01:57:04,,,
PSLP009,Lee Perry,Voodooism,Pressure Sounds,"LP, Album, Comp",,1996,210368,Uncategorized,2021-09-20 22:48:22,Near Mint (NM or M-),Near Mint (NM or M-),
PSS157,Tommy McCook,Death Trap,Pressure Sounds,"7""",,2020,15985560,Uncategorized,2021-07-04 13:24:52,,,
PSS124,Lloyd Parks,Slaving (Steppers Cut),"Pressure Sounds, Parks","7"", Single, RE",,2017,11225672,Uncategorized,2021-07-04 13:28:32,,,
PSS146,Tommy McCook / Tommy McCook & King Tubby,Revenge / Greetings,"Pressure Sounds, Prophet (2)","7"", Single, RE",,2019,13675981,Uncategorized,2020-12-02 11:44:23,,,
PSS 042,The Upsetters,Strong Drink,"Pressure Sounds, Upsetter","7"", Single",,2011,2859502,Uncategorized,2021-07-04 13:36:59,,,
