Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
none,Various,Avon Garde,Avon Terror Corps,"Cass, Comp, C90",,2020,15100556,Uncategorized,2020-09-20 16:10:30,,,
none,EP/64,57,Avon Terror Corps,"Cass, Album",,2021,18205489,Uncategorized,2022-03-04 10:43:34,,,
BW12,Machinefabriek,Drum Solos,Backwards,"LP, Ltd, Whi",,2014,5511142,Early,2019-05-02 20:20:07,Mint (M),Mint (M),
BANDULU012,Bengal Sound,Never Mind / Short Stay,Bandulu Records,"12"", Ltd, Num",,2019,13921937,Uncategorized,2022-10-10 10:43:51,,,
BSUN001,Big Hands (3),Baroque Sunburst EP,Baroque Sunburst,"12"", EP",,2019,14354635,Uncategorized,2021-07-04 15:14:52,,,
BC 09,Basic Channel,Phylyps Trak II,Basic Channel,"12""",,1994,2167,Uncategorized,2022-09-12 12:59:22,,,
"BRCR-1, none",Chuck Turner / Professor Grizzly,Trying To Conquer I / Fight The Professor,"Basic Replay, CRAT","12""",,2007,996705,Uncategorized,2021-07-04 13:47:51,,,
"BRWM-1, none",White Mice (2),It’s A Shame,"Basic Replay, Intelitec Muzik","7"", RE",,2006,734343,Uncategorized,2020-11-13 07:49:48,Mint (M),Near Mint (NM or M-),
"BRWM-2, none",White Mice (2),Youths Of Today,"Basic Replay, Intelitec Muzik","7"", RE",,2006,726706,Uncategorized,2020-11-13 07:49:48,Mint (M),Near Mint (NM or M-),
BRKC-1,Various,King Culture Presents Cuss Cuss,"Basic Replay, King Culture","12""",,2006,690200,Uncategorized,2021-07-04 13:48:18,,,
BDNLP 006,Ekman,A Pastime For Semi Gods,Bedouin Records,"2x12"", Album",,2020,14682175,Uncategorized,2022-03-07 03:31:07,Mint (M),Mint (M),
BDNOG 006,Mars89,"Cold Concrete, Wet Asphalt ",Bedouin Records,"Cass, Ltd, Mixed",,2021,21489724,Uncategorized,2022-03-23 07:58:45,,,
BH 033,Ossia (2),Control / Information / Version,Berceuse Heroique,"2x12"", 180",,2016,8983592,Uncategorized,2022-03-16 06:59:25,Near Mint (NM or M-),Near Mint (NM or M-),
BH 062,Ossia (2),The Marzahn Versions,Berceuse Heroique,"12"", EP",,2019,14341953,Uncategorized,2020-09-19 22:21:49,Mint (M),,
BH041,Ossia (2),Gridlock,Berceuse Heroique,"12""",,2017,10488407,Uncategorized,2021-08-03 02:37:13,Mint (M),,
ACRE054,DJ Khalab,Tiende! (Feat. Clap! Clap!) / Substance,Black Acre,"7"", Ltd",,2015,6968951,Early,2019-05-02 19:59:07,Mint (M),Generic,
BOP009,Cop Envy,Total End,Black Opal,"12""",,2016,9031176,Uncategorized,2022-05-09 05:19:32,Mint (M),Mint (M),
BLACKEST 045 ,Secret Boyfriend,Memory Care Unit,Blackest Ever Black,"LP, Album",,2016,8172593,Uncategorized,2022-02-23 00:08:23,,,
BLACKEST023,Secret Boyfriend,This Is Always Where You've Lived,Blackest Ever Black,LP,,2013,5161288,Uncategorized,2022-02-23 00:07:39,,,
Blackest074,Ossia (2),Dub Hell / Devil's Dance,Blackest Ever Black,"10"", Single, Ltd",,2018,12001473,Uncategorized,2021-08-03 02:37:18,Mint (M),,
BLACKEST075,Ossia (2),Devil's Dance,Blackest Ever Black,2xLP,,2019,13221590,Uncategorized,2021-07-04 14:08:03,,,
BLACKESTLP012 ,Af Ursin,Aura Legato ,Blackest Ever Black,"LP, Album, Ltd, RE, RM",,2016,8664605,Uncategorized,2022-02-23 00:10:40,,,
10-BLX 017,Denis Nolan,Why Wicked Man / Black Revolutian,Blakamix,"10""",,2005,2029668,Uncategorized,2021-07-04 13:44:58,,,
BLK 043,Mali Blakamix,Retaliation,Blakamix,"7"", Single",,2019,14587887,Uncategorized,2021-07-04 13:21:01,,,
BLKMCX 007,Jah Woosh,Fire In A Blakamix,Blakamix,"Cass, Album, Ltd",,1993,15549851,Uncategorized,2022-03-04 10:05:23,,,
BLKMCX 009,Various,Ragga Culture 2,Blakamix,"Cass, Album",,1993,15747937,Uncategorized,2022-03-04 10:14:30,,,
BLKMCX016,Mixman,Seek And You Will Find - The Dub Pieces,Blakamix,"Cass, Album",,1995,8484827,Uncategorized,2022-03-04 10:13:52,,,
BLKMX 011,Mixman,The Early Dub Tapes,Blakamix,"Cass, Album",,1994,15644544,Uncategorized,2022-03-04 10:02:43,,,
BLKM023,Mixman,Antiquities / Falasha Dance,Blakamix Gold Edition,"12"", RP",,2021,18237982,Uncategorized,2021-07-04 14:01:25,,,
BLNK008,AudioBoyz,Danger,Blank Mind,"12""",,2016,8954422,Various,2019-10-17 12:53:58,Mint (M),Mint (M),
BLNK015,Big Hands (3),Ossario,Blank Mind,"12""",,2021,18323845,Uncategorized,2021-07-04 13:49:51,,,
BLNK016,Various,Comme De Loin,Blank Mind,"LP, Album",,2021,19203718,Uncategorized,2021-07-04 13:49:49,,,
BAFT 02,The Congos,"Congoman 12"" EP",Blood & Fire,"12""",,1996,397935,Uncategorized,2021-07-04 14:00:14,,,
Bloom 5,Kubus (2) & Aardvarck,Blööm 5,Bloom,"12"", Ltd, W/Lbl",,2010,2302482,Uncategorized,2021-07-05 01:42:06,,,
BAM001,Human Resources (4),BAM001,Body Action Music,"12""",,2019,13597676,Picks,2019-11-03 19:57:08,Mint (M),Near Mint (NM or M-),
BKV010,Rer Repeter,In Fine Style,Bokeh Versions,"Cass, Album",,2017,10300536,Uncategorized,2022-01-18 04:11:42,,,
BKV011,Mars89,Lucid Dream EP,Bokeh Versions,"Cass, EP, Ltd, c40",,2017,10455550,Uncategorized,2022-03-04 10:29:25,,,
BKV012,Low Jack vs Time Cow,Glacial Dancehall 2,Bokeh Versions,"Cass, Ltd, Mixed",,2017,10747510,Various,2019-11-12 10:07:16,,,
BKV022,Sunun,Ooid,Bokeh Versions,"12""",,2018,12751419,Uncategorized,2021-07-05 01:52:09,,,
BKV026,Bad Tracking,Widower EP,Bokeh Versions,"12"", EP",,2019,14336834,Uncategorized,2021-07-05 01:52:03,,,
BKV037,Rer Repeter,Bad Twang,Bokeh Versions,"LP, Album",,2021,19355392,Uncategorized,2021-08-21 04:16:39,,,
BKV024,Sikka Rymes,Love Di People EP,"Bokeh Versions, Duppy Gun Productions","12"", EP",,2019,13473855,Uncategorized,2020-09-20 08:29:08,,,
none,G Sudden,Bunout Boss,"Bokeh Versions, Duppy Gun Productions","Cass, EP, Ltd",,2020,16055113,Uncategorized,2022-03-04 10:41:44,,,
"BKV014, NC12005",Seekers International,RunComeTest EP,"Bokeh Versions, No Corner","12"", EP",,2017,11161848,Various,2019-05-01 21:43:23,Mint (M),Mint (M),
BOOMARM 015 ,Lokal Affair,Seremunia EP,Boomarm Nation,"12"", EP, Ltd",,2018,11818097,Uncategorized,2021-06-15 03:53:45,Mint (M),Mint (M),
BKEDITDS04,Zuli (4),One,Boomkat Editions,Cass,,2020,15514960,Uncategorized,2020-09-20 16:09:49,,,
BKEDITDS06,Kelman Duran,Hasina,Boomkat Editions,"Cass, Album",,2020,15593993,Uncategorized,2020-09-20 16:06:58,,,
